PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2021,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2022,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2023,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2024,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2025,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2026,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2027,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2028,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2029,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2030,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2031,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2032,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2033,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2034,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2035,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2036,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2037,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2038,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2039,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2040,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2041,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2042,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2043,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2044,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2045,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2046,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2047,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2048,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2049,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2050,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2051,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2052,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2053,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2054,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DEN,,CO2e,1,2055,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2021,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2022,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2023,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2024,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2025,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2026,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2027,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2028,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2029,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2030,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2031,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2032,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2033,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2034,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2035,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2036,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2037,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2038,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2039,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2040,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2041,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2042,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2043,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2044,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2045,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2046,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2047,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2048,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2049,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2050,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2051,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2052,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2053,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2054,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_DRY,,CO2e,1,2055,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2021,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2022,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2023,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2024,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2025,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2026,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2027,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2028,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2029,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2030,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2031,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2032,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2033,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2034,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2035,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2036,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2037,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2038,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2039,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2040,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2041,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2042,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2043,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2044,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2045,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2046,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2047,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2048,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2049,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2050,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2051,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2052,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2053,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2054,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_SEC,,CO2e,1,2055,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2021,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2022,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2023,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2024,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2025,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2026,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2027,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2028,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2029,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2030,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2031,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2032,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2033,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2034,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2035,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2036,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2037,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2038,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2039,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2040,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2041,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2042,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2043,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2044,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2045,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2046,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2047,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2048,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2049,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2050,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2051,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2052,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2053,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2054,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,LU_MAN,,CO2e,1,2055,,,,,,-2.94205298013245
EmissionActivityRatio,LTS,JAM,T5COFAGR,,CO2e,1,2021,,,,,,8.29
EmissionActivityRatio,LTS,JAM,T5COFAGR,,CO2e,1,2022,,,,,,8.29
