PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,LTS,JAM,SOIALL,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPCOF,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPCOC,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPCNT,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPBAN,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPLEG,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPVEG,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPCON,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPFRT,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPCER,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPPLA,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPPOT,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPYAM,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPOTTU,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPCARBOV,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPCARPOR,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPCARPOL,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPMILK,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,IMPOTRCAR,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,LU_FOR,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,LU_WET,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,LU_CROP,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,LU_PAS,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,LU_SET,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,LU_OTL,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,LU_DEN,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,LU_DRY,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,LU_SEC,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,LU_MAN,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,AG_COF,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,AG_COC,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,AG_CNT,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,AG_BAN,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,AG_LEG,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,AG_VEG,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,AG_CON,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,AG_FRT,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,AG_CER,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,AG_PLA,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,AG_POT,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,AG_YAM,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,AG_OTTU,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,GA_CARBOV,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,GA_CARPOR,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,GA_CARPOL,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,GA_MILK,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,GA_OTRCAR,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,JAM,T5COFAGR,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5COCAGR,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5CNTAGR,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5BANAGR,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5LEGAGR,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5VEGAGR,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5CONAGR,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5FRTAGR,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5CERAGR,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5PLAAGR,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5POTAGR,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5YAMAGR,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5OTTUAGR,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5CARBOVGAN,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5CARPORGAN,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5CARPOLGAN,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5LECGAN,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5OTRCARGAN,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5COFAGREXP,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5COCAGREXP,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5CNTAGREXP,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5BANAGREXP,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5LEGAGREXP,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5VEGAGREXP,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5CONAGREXP,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5FRTAGREXP,,,,,,,,,,
CapacityToActivityUnit,LTS,JAM,T5CERAGREXP,,,,,,,,,,
